id,name,genre,popularity
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,92
66ihevNkSYNzRAl44dx6jJ,Carin Leon,"corrido,musica-mexicana,sad-sierreno,sierreno",87
67FB4n52MgexGQIG8s0yUH,Lola Young,uk-pop,73
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,"atl-hip-hop,plugg,pluggnb,rage-rap,rap",90
69UfPJgUmFFAVT740qGVZi,Ken Darby Singers,,37
6B1hSmaLdOvChinK2Z7gfi,Maisak,,72
6DARBhWbfcS9E4yJzcliqQ,Karan Aujla,"desi-hip-hop,punjabi-pop",81
6EVyI0S0b1Ld2nm37m5x85,Raffaella Carrà,classic-italian-pop,68
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,"boy-band,dance-pop,pop",77
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,87
6JSZJddy1dORbnzdx2ZLG9,Dj Agus Lima,previa,48
6Jrxnp0JgqmeUX1veU591p,Santigold,"alternative-dance,art-pop,indietronica,neo-synthpop",72
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,85
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance-pop,pop,uk-pop",88
6Qhgat07PNOdnJSnCXJigu,千葉雄喜,,68
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,"corrido,sierreno",84
6TYimByryGphZCtwYopH0y,Lauana Prado,"sertanejo,sertanejo-pop,sertanejo-universitario",78
6U3ybJ9UHNKEdsH7ktGBZ7,JID,"hip-hop,pop-rap,rap,underground-hip-hop",78
6UlNIFEuWlBqb4TvlVCekq,Kirsty MacColl,new-wave-pop,52
6XX6KGpomRDPmGGm7bofCK,DJ Glenner,,77
6XjgqvaVLUib6lCerbZrYD,Stryv,,75
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,musica-chihuahuense,86
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,"dance-pop,pop",78
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,"alternative-metal,nu-metal,post-grunge,rap-metal,rock",92
6YM5gRpMJkP0kUWRcvlHT3,Brittney Spencer,black-americana,48
6YVMFz59CuY7ngCxTxjpxE,aespa,k-pop-girl-group,84
6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby,"adult-standards,easy-listening,lounge,swing",66
6aoGgTKGqtsjj48ymcNs4Z,MC Tuto,funk-consciente,81
6dLuQ5qXxIuWc5urxfIiZR,Calle 24,"corrido,corridos-tumbados,sad-sierreno,sierreno",76
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"pop,singer-songwriter-pop,uk-pop",89
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious-hip-hop,hip-hop,north-carolina-hip-hop,rap",86
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,"indie-folk,stomp-and-holler",78
6mKwmTMzDrye9elc8JWiw3,Mc Leozin,"funk-bh,funk-mtg",70
6maPmKkdwM4eyhz5O4lbkP,Nonna,,51
